Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace Surface,Garden Surface,Number of facades,Swimming pool,State of building,Garden,Terrace
VBD45910,Estinnes,7120,129000,1,House,Sale,2,80,,0,0,,,,0,,1,0
VBD45908,Chtelet,6200,135000,1,House,Sale,3,115,,0,0,15.0,,3,0,1,1,1
VBD45906,Mouscron,7700,750,,Flat,Rent,2,100,1,0,0,,,2,0,2,0,1
VBD45891,Eugies,7080,240000,1,Villa,Sale,2,117,,0,1,,,4,0,0,1,1
VWD15477,Tournai,7500,250000,1,House,Sale,5,205,1,0,0,16.0,,2,0,1,0,1
VBD45883,Ecaussinnes,7190,950,,Flat,Rent,2,100,1,0,0,,,2,0,1,0,1
VBD45867,Neufmaison,7332,270000,1,Villa,Sale,2,,,0,0,,,4,0,0,1,1
VBD45856,Mouscron,7700,690,,Flat,Rent,2,70,,0,0,,,,0,2,0,1
VBD45845,Seneffe,7180,249000,1,House,Sale,2,90,1,0,1,1.0,100.0,3,0,1,1,1
VBD45824,Mons,7000,495,,FlatStudio,Rent,,29,1,0,0,,,,0,1,0,0
VBD45816,Mouscron,7700,179000,1,House,Sale,3,160,,0,0,,140.0,2,0,1,1,1
VBD45815,Frameries,7080,1000,1,House,Rent,3,120,1,0,0,20.0,100.0,3,0,2,1,1
VBD45794,Goze,6534,99000,1,House,Sale,3,99,,0,0,,,2,0,0,0,1
VBD45791,Haine-Saint-Paul,7100,850,,Flat,Rent,2,104,1,0,0,,,2,0,1,0,0
VBD45788,Marchienne-au-Pont,6030,99999,1,MixedBuilding,Sale,0,91,,0,0,,,2,0,1,0,0
VBD45779,Dour,7370,90000,1,House,Sale,2,93,,0,0,12.0,22.0,3,0,0,1,1
VBD45775,Charleroi,6000,760,,Flat,Rent,2,88,1,0,0,8.0,,,0,2,0,1
VBD45771,Mons,7000,590,,Flat,Rent,1,60,,0,0,,,2,0,2,0,0
VBD45769,Estaimpuis,7730,569000,1,House,Sale,4,284,,0,0,20.0,620.0,,0,,1,1
VBD45723,Spiennes,7032,1250,1,House,Rent,5,150,,0,0,,1150.0,,0,,1,1
VBD45717,Charleroi,6000,105000,,Flat,Sale,2,85,,0,0,,,3,0,,0,0
VBD45716,Charleroi,6000,89000,,Flat,Sale,1,67,,0,0,,,3,0,1,0,0
VBD45715,Charleroi,6000,105000,,Flat,Sale,2,68,,0,0,,,3,0,,0,0
VBD45713,Charleroi,6000,105000,,Flat,Sale,2,85,,0,0,,,4,0,1,0,0
VBD45712,Charleroi,6000,89000,,Flat,Sale,1,67,,0,0,,,3,0,,0,0
VBD45711,Charleroi,6000,89000,,Flat,Sale,1,67,,0,0,,,3,0,,0,0
VBD45709,Pruwelz,7600,435,,Flat,Rent,1,50,,0,0,,,2,0,1,0,0
VBD45708,Pruwelz,7600,515,,Flat,Rent,1,51,,0,0,,,2,0,1,0,0
VBD45656,Braine-le-Comte,7090,450000,1,House,Sale,5,350,1,0,0,105.0,,2,0,1,0,1
VBD45640,Grandrieu,6470,369000,1,Villa,Sale,5,224,,0,0,,,4,0,1,1,1
VBD45639,Ligne,7812,470000,1,House,Sale,5,300,,0,0,30.0,600.0,3,0,1,1,1
VBD45638,Ligne,7812,540000,1,House,Sale,6,360,,0,0,30.0,600.0,3,0,1,1,1
VBD45613,Deux-Acren,7864,332000,1,House,Sale,3,210,1,0,0,,330.0,4,0,0,1,1
VBD45585,Ecaussinnes,7190,254000,,Flat,Sale,2,110,,0,0,8.0,300.0,2,0,,1,1
VBD45584,Ecaussinnes,7190,259000,,Flat,Sale,2,112,,0,0,8.0,300.0,2,0,,1,1
VBD45583,Ecaussinnes,7190,263000,,Flat,Sale,3,119,,0,0,,300.0,2,0,,1,0
VBD45579,Grandrieu,6470,181900,1,MasterHouse,Sale,4,191,,0,0,,,,0,,1,0
VBD45574,Chimay,6460,650,1,House,Rent,2,100,,0,1,,,,0,,1,0
VBD45565,Chimay,6460,195000,1,House,Sale,3,108,,0,0,,,,0,,0,0
VBD45561,Ath,7800,349000,1,House,Sale,3,160,,0,0,,,,0,1,0,1
VBD45560,La Louvire,7100,200000,1,House,Sale,2,,,0,0,,,3,0,,1,1
VBD45559,Marcinelle,6001,249000,1,House,Sale,3,194,,0,0,,,3,0,1,1,1
VBD45558,Gouy-lez-Piton,6181,165000,1,House,Sale,1,90,,0,0,24.0,93.0,2,0,1,1,1
VBD45556,Labuissire,6567,270000,1,Villa,Sale,4,168,,0,0,,,4,1,1,1,0
VBD45553,Ath,7800,175000,,Flat,Sale,2,77,,0,0,,,,0,1,0,0
VBD45552,Ath,7800,175000,,Flat,Sale,2,77,,0,0,,,,0,1,0,1
VBD45551,La Glanerie,7611,199000,1,House,Sale,2,115,,0,0,,80.0,3,0,1,1,0
VBD45548,Gilly,6060,170000,1,House,Sale,4,161,,0,0,,,3,0,1,1,1
VBD45544,Bas-Warneton,7784,259900,1,House,Sale,2,114,,0,0,,,4,0,1,1,1
VBD45543,Charleroi,6000,179000,,Flat,Sale,3,127,1,0,0,,,,0,1,0,0
VBD45534,Mouscron,7700,259000,1,House,Sale,2,121,1,0,0,,,3,0,1,1,1
VBD45528,Hornu,7301,189000,1,House,Sale,2,131,,0,0,,182.0,2,0,0,1,0
VBD45527,Boussu,7300,250000,1,House,Sale,2,180,,0,0,5.0,,2,0,,0,1
